Sr. No,Circuit Type,Circuit name,No. of transistors,No. of n-type transistor,No. of p-type transistor,Lg, W,D,Input Output Delay
233,Basic gates,OR Gate,6,3,3,4.20E-08,3.00E-07,1.60E-09,1.34E-11
234,Basic gates,OR Gate,6,3,3,4.20E-08,4.00E-07,1.60E-09,1.81E-11
235,Basic gates,OR Gate,6,3,3,4.20E-08,5.00E-07,1.60E-09,2.24E-11
236,Basic gates,OR Gate,6,3,3,4.20E-08,6.00E-07,1.60E-09,2.65E-11
237,Basic gates,OR Gate,6,3,3,4.20E-08,7.00E-07,1.60E-09,3.05E-11
238,Basic gates,OR Gate,6,3,3,4.20E-08,8.00E-07,1.60E-09,3.43E-11
239,Basic gates,OR Gate,6,3,3,4.20E-08,9.00E-07,1.60E-09,3.82E-11
240,Basic gates,OR Gate,6,3,3,4.20E-08,1.00E-06,1.60E-09,4.18E-11
241,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.10E-09,7.38E-12
242,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.10E-09,1.47E-11
243,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.10E-09,2.09E-11
244,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.10E-09,2.65E-11
245,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.10E-09,3.17E-11
246,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.10E-09,3.68E-11
247,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.10E-09,4.15E-11
248,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.10E-09,4.62E-11
249,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.10E-09,5.08E-11
250,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.10E-09,5.53E-11
251,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.20E-09,5.31E-12
252,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.20E-09,1.19E-11
253,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.20E-09,1.77E-11
254,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.20E-09,2.29E-11
255,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.20E-09,2.77E-11
256,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.20E-09,3.23E-11
257,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.20E-09,3.66E-11
258,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.20E-09,4.10E-11
259,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.20E-09,4.50E-11
260,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.20E-09,4.90E-11
261,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.30E-09,3.38E-12
262,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.30E-09,9.67E-12
263,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.30E-09,1.50E-11
264,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.30E-09,1.98E-11
265,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.30E-09,2.43E-11
266,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.30E-09,2.86E-11
267,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.30E-09,3.26E-11
268,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.30E-09,3.65E-11
269,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.30E-09,4.03E-11
270,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.30E-09,4.42E-11
271,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.40E-09,1.60E-12
272,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.40E-09,7.54E-12
273,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.40E-09,1.25E-11
274,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.40E-09,1.71E-11
275,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.40E-09,2.13E-11
276,Basic gates,OR Gate,6,3,3,1.00E-08,6.00E-07,1.40E-09,2.54E-11
277,Basic gates,OR Gate,6,3,3,1.00E-08,7.00E-07,1.40E-09,2.93E-11
278,Basic gates,OR Gate,6,3,3,1.00E-08,8.00E-07,1.40E-09,3.30E-11
279,Basic gates,OR Gate,6,3,3,1.00E-08,9.00E-07,1.40E-09,3.66E-11
280,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-06,1.40E-09,4.01E-11
281,Basic gates,OR Gate,6,3,3,1.00E-08,1.00E-07,1.50E-09,-2.25E-14
282,Basic gates,OR Gate,6,3,3,1.00E-08,2.00E-07,1.50E-09,5.57E-12
283,Basic gates,OR Gate,6,3,3,1.00E-08,3.00E-07,1.50E-09,1.04E-11
284,Basic gates,OR Gate,6,3,3,1.00E-08,4.00E-07,1.50E-09,1.48E-11
285,Basic gates,OR Gate,6,3,3,1.00E-08,5.00E-07,1.50E-09,1.88E-11
